Date,VFV,XIU,ZAG
2015-01-02,37.097408294677734,16.031299591064453,11.432718276977539
2015-01-05,36.346500396728516,15.609817504882812,11.475916862487793
2015-01-06,36.25153732299805,15.47670841217041,11.504714012145996
2015-01-07,36.66584777832031,15.521077156066895,11.519116401672363
2015-01-08,37.37361526489258,15.742923736572266,11.461517333984375
2015-01-09,37.17509841918945,15.602420806884766,11.519116401672363
2015-01-12,37.157833099365234,15.521077156066895,11.547908782958984
2015-01-13,37.01108932495117,15.395374298095703,11.569507598876953
2015-01-14,36.76942443847656,15.284457206726074,11.598306655883789
2015-01-15,36.52775573730469,15.203115463256836,11.655900001525879
2015-01-16,37.00247573852539,15.535866737365723,11.619903564453125
2015-01-19,36.96793746948242,15.51368236541748,11.641501426696777
2015-01-20,37.49445724487305,15.535866737365723,11.655900001525879
2015-01-21,38.39210891723633,15.85383415222168,11.735093116760254
2015-01-22,39.10850524902344,16.105247497558594,11.720699310302734
2015-01-23,39.03946304321289,16.112642288208008,11.763890266418457
2015-01-26,39.24661636352539,16.09785270690918,11.771093368530273
2015-01-27,38.581993103027344,16.149612426757812,11.8151216506958
2015-01-28,38.46116256713867,15.90558910369873,11.865641593933105
2015-01-29,39.03083419799805,15.972143173217773,11.851211547851562
2015-01-30,38.832298278808594,16.031299591064453,11.937819480895996
2015-02-02,38.875465393066406,16.267927169799805,11.96668815612793
2015-02-03,38.927249908447266,16.393632888793945,11.916163444519043
2015-02-04,39.2552375793457,16.334474563598633,11.93060302734375
2015-02-05,39.26388168334961,16.4749755859375,11.901729583740234
2015-02-06,39.445125579833984,16.445398330688477,11.822335243225098
2015-02-09,39.11714553833008,16.430604934692383,11.836776733398438
2015-02-10,39.88532638549805,16.482370376586914,11.8151216506958
2015-02-11,40.08385467529297,16.51934242248535,11.822335243225098
2015-02-12,40.006168365478516,16.563711166381836,11.836776733398438
2015-02-13,40.09248733520508,16.608064651489258,11.829551696777344
2015-02-17,39.84217071533203,16.637651443481445,11.764595985412598
2015-02-18,39.97163391113281,16.534130096435547,11.786243438720703
2015-02-19,40.2219352722168,16.504549026489258,11.807903289794922
2015-02-20,40.618988037109375,16.51934242248535,11.836776733398438
2015-02-23,40.70530700683594,16.556312561035156,11.872861862182617
2015-02-24,40.57583236694336,16.526737213134766,11.902523040771484
2015-02-25,40.325538635253906,16.600685119628906,11.902523040771484
2015-02-26,40.601722717285156,16.630258560180664,11.873584747314453
2015-02-27,40.429107666015625,16.645050048828125,11.91699504852295
2015-03-02,40.76572799682617,16.67462730407715,11.880818367004395
2015-03-03,40.411834716796875,16.526737213134766,11.837409973144531
2015-03-04,40.03206253051758,16.41581916809082,11.772285461425781
2015-03-05,40.403202056884766,16.497163772583008,11.750578880310059
2015-03-06,40.14424514770508,16.341873168945312,11.6926908493042
2015-03-09,40.265113830566406,16.253141403198242,11.707167625427246
2015-03-10,39.868064880371094,16.00912094116211,11.721633911132812
2015-03-11,40.01480484008789,16.083066940307617,11.757816314697266
2015-03-12,40.360050201416016,16.164403915405273,11.772285461425781
2015-03-13,40.3773078918457,16.134824752807617,11.786761283874512
2015-03-16,40.8779296875,16.334474563598633,11.815696716308594
2015-03-17,40.739830017089844,16.327083587646484,11.837409973144531
2015-03-18,40.54993438720703,16.371749877929688,11.880818367004395
2015-03-19,40.91245651245117,16.207962036132812,11.924233436584473
2015-03-20,40.79161834716797,16.334531784057617,11.938694953918457
2015-03-23,40.43092346191406,16.304746627807617,11.924233436584473
2015-03-24,40.17080307006836,16.468542098999023,11.938694953918457
2015-03-25,39.650577545166016,16.31963539123535,11.90976333618164
2015-03-26,39.381778717041016,16.200517654418945,11.83069896697998
2015-03-27,39.91936111450195,16.155847549438477,11.874218940734863
2015-03-30,40.682373046875,16.297306060791016,11.88147258758545
2015-03-31,40.27485656738281,16.304746627807617,11.874218940734863
2015-04-01,39.91936111450195,16.304746627807617,11.924995422363281
2015-04-02,39.98871612548828,16.423871994018555,11.939504623413086
2015-04-06,39.91067886352539,16.453649520874023,11.903234481811523
2015-04-07,39.928016662597656,16.565322875976562,11.903234481811523
2015-04-08,40.14479446411133,16.610004425048828,11.910487174987793
2015-04-09,40.482948303222656,16.766347885131836,11.88147258758545
2015-04-10,40.66503143310547,16.825908660888672,11.888727188110352
2015-04-13,40.543636322021484,16.833351135253906,11.88147258758545
2015-04-14,40.28351593017578,16.84823989868164,11.924995422363281
2015-04-15,39.8413200378418,16.892911911010742,11.903234481811523
2015-04-16,39.45115280151367,16.811012268066406,11.88147258758545
2015-04-17,39.121665954589844,16.788679122924805,11.86696720123291
2015-04-20,39.494503021240234,16.84823989868164,11.845199584960938
2015-04-21,39.61589050292969,16.796127319335938,11.83069896697998
2015-04-22,39.62455368041992,16.766347885131836,11.79443359375
2015-04-23,39.494503021240234,16.863134384155273,11.808938026428223
2015-04-24,39.650577545166016,16.892911911010742,11.8379545211792
2015-04-27,39.25172805786133,16.796127319335938,11.831408500671387
2015-04-28,39.11299133300781,16.803569793701172,11.758686065673828
2015-04-29,38.9569206237793,16.840791702270508,11.715057373046875
2015-04-30,38.70547866821289,16.639780044555664,11.722325325012207
2015-05-01,39.433799743652344,16.77379035949707,11.664155960083008
2015-05-04,39.35576248168945,16.811012268066406,11.635061264038086
2015-05-05,38.80952072143555,16.587663650512695,11.62052059173584
2015-05-06,38.480037689208984,16.431312561035156,11.562345504760742
2015-05-07,38.96559524536133,16.498323440551758,11.62052059173584
2015-05-08,39.39044952392578,16.595109939575195,11.656880378723145
