date,RF
2015-03-31,0.00045000000000000004
2015-04-30,0.00055
2015-05-31,0.000525
2015-06-30,0.0004833333333333333
2015-07-31,0.0003416666666666666
2015-08-31,0.00030833333333333337
2015-09-30,0.00035833333333333333
2015-10-31,0.0003416666666666666
2015-11-30,0.00039999999999999996
2015-12-31,0.0004333333333333333
2016-01-31,0.00039999999999999996
2016-02-29,0.00038333333333333334
2016-03-31,0.00036666666666666667
2016-04-30,0.0004583333333333334
2016-05-31,0.00044166666666666665
2016-06-30,0.0004083333333333333
2016-07-31,0.00044166666666666665
2016-08-31,0.00042500000000000003
2016-09-30,0.00042500000000000003
2016-10-31,0.0004083333333333333
2016-11-30,0.00042500000000000003
2016-12-31,0.00039999999999999996
2017-01-31,0.00037500000000000006
2017-02-28,0.00039166666666666663
2017-03-31,0.00045000000000000004
2017-04-30,0.0004333333333333333
2017-05-31,0.0004333333333333333
2017-06-30,0.0005416666666666668
2017-07-31,0.0006083333333333333
2017-08-31,0.0005916666666666667
2017-09-30,0.0008249999999999999
2017-10-31,0.0007666666666666667
2017-11-30,0.0007333333333333333
2017-12-31,0.000875
2018-01-31,0.001
2018-02-28,0.0009499999999999999
2018-03-31,0.0009083333333333334
2018-04-30,0.001
2018-05-31,0.001075
2018-06-30,0.0010416666666666667
2018-07-31,0.0011666666666666665
2018-08-31,0.0012833333333333334
2018-09-30,0.0012583333333333333
2018-10-31,0.0014416666666666666
2018-11-30,0.0014333333333333333
2018-12-31,0.0013916666666666667
2019-01-31,0.0013833333333333334
2019-02-28,0.0013916666666666667
2019-03-31,0.0013833333333333334
2019-04-30,0.0014
2019-05-31,0.0014083333333333333
2019-06-30,0.0013833333333333334
2019-07-31,0.0013750000000000001
2019-08-31,0.0013500000000000003
2019-09-30,0.0013666666666666664
2019-10-31,0.0013833333333333334
2019-11-30,0.0013833333333333334
2019-12-31,0.0013833333333333334
2020-01-31,0.0013666666666666664
2020-02-29,0.0013416666666666666
2020-03-31,0.0004083333333333333
2020-04-30,0.00021666666666666666
2020-05-31,0.00018333333333333334
2020-06-30,0.000175
2020-07-31,0.00013333333333333334
2020-08-31,0.00011666666666666668
2020-09-30,9.999999999999999e-05
2020-10-31,7.5e-05
2020-11-30,9.999999999999999e-05
2020-12-31,5.833333333333334e-05
2021-01-31,4.9999999999999996e-05
2021-02-28,9.166666666666667e-05
2021-03-31,7.5e-05
2021-04-30,8.333333333333333e-05
2021-05-31,8.333333333333333e-05
2021-06-30,0.000125
2021-07-31,0.00014166666666666668
2021-08-31,0.00015
2021-09-30,9.999999999999999e-05
2021-10-31,0.00010833333333333333
2021-11-30,7.5e-05
2021-12-31,0.00013333333333333334
2022-01-31,0.0002666666666666667
2022-02-28,0.00030833333333333337
2022-03-31,0.0004833333333333333
2022-04-30,0.0011
2022-05-31,0.0011416666666666667
2022-06-30,0.0017416666666666665
2022-07-31,0.0022083333333333334
2022-08-31,0.002683333333333333
2022-09-30,0.002958333333333333
2022-10-31,0.0032166666666666663
2022-11-30,0.0033833333333333332
2022-12-31,0.003541666666666667
2023-01-31,0.0036416666666666667
2023-02-28,0.00375
2023-03-31,0.003583333333333333
2023-04-30,0.00365
2023-05-31,0.003825
2023-06-30,0.004075
2023-07-31,0.004166666666666667
2023-08-31,0.004233333333333333
2023-09-30,0.0042250000000000005
2023-10-31,0.004233333333333333
2023-11-30,0.004166666666666667
2023-12-31,0.004075
2024-01-31,0.004116666666666667
2024-02-29,0.004108333333333333
2024-03-31,0.004158333333333333
2024-04-30,0.004091666666666667
2024-05-31,0.004008333333333333
2024-06-30,0.0038666666666666663
2024-07-31,0.003658333333333333
2024-08-31,0.0034916666666666672
2024-09-30,0.0033499999999999992
2024-10-31,0.002925
2024-11-30,0.00285
2024-12-31,0.002625
2025-01-31,0.0024083333333333335
2025-02-28,0.0023666666666666667
2025-03-31,0.0022
2025-04-30,0.0022
2025-05-31,0.0022083333333333334
2025-06-30,0.002225
2025-07-31,0.0022
